Datetime,temperature,precipitation,wind_speed,wind_direction
2019-01-01 06:00:00,7.6,0.0,12.0,267.2
2019-01-01 07:00:00,7.8,0.01,11.6,284.8
2019-01-01 08:00:00,7.8,0.01,10.9,301.8
2019-01-01 09:00:00,7.8,0.01,11.1,297.6
2019-01-01 10:00:00,7.9,0.0,11.8,294.7
2019-01-01 11:00:00,8.1,0.0,12.0,301.3
2019-01-01 12:00:00,8.0,0.0,12.7,302.8
2019-01-01 13:00:00,7.6,0.14,14.4,307.4
2019-01-01 14:00:00,7.1,0.01,14.2,305.9
2019-01-01 15:00:00,6.8,0.01,15.4,311.4
2019-01-01 16:00:00,6.4,0.03,16.0,314.3
2019-01-01 17:00:00,5.6,0.0,15.9,317.2
2019-01-01 18:00:00,5.1,0.11,16.3,322.2
2019-01-01 19:00:00,5.2,0.11,17.2,324.1
2019-01-01 20:00:00,5.2,0.0,17.1,323.4
2019-01-01 21:00:00,5.5,0.04,16.9,322.6
2019-01-02 06:00:00,5.2,0.0,15.3,356.2
2019-01-02 07:00:00,5.0,0.0,13.8,4.2
2019-01-02 08:00:00,5.5,0.0,12.3,8.9
2019-01-02 09:00:00,6.2,0.0,12.7,7.6
2019-01-02 10:00:00,6.4,0.0,11.9,9.8
2019-01-02 11:00:00,6.5,0.0,11.2,11.5
2019-01-02 12:00:00,6.2,0.0,9.8,10.9
2019-01-02 13:00:00,6.3,0.0,8.9,16.6
2019-01-02 14:00:00,6.3,0.0,8.7,9.0
2019-01-02 15:00:00,6.1,0.0,8.0,1.0
2019-01-02 16:00:00,6.0,0.0,7.9,354.6
2019-01-02 17:00:00,5.7,0.0,7.7,349.3
2019-01-02 18:00:00,5.4,0.0,6.9,345.3
2019-01-02 19:00:00,5.1,0.0,7.4,343.4
2019-01-02 20:00:00,5.1,0.0,6.5,340.5
2019-01-02 21:00:00,5.1,0.0,6.1,343.7
2019-01-03 06:00:00,5.1,0.08,8.3,346.0
2019-01-03 07:00:00,5.2,0.2,8.1,347.0
2019-01-03 08:00:00,5.9,0.02,7.8,342.5
2019-01-03 09:00:00,6.2,0.02,8.3,347.4
2019-01-03 10:00:00,6.4,0.07,8.9,351.4
2019-01-03 11:00:00,6.3,0.01,7.0,6.1
2019-01-03 12:00:00,6.0,0.0,6.5,16.9
2019-01-03 13:00:00,5.6,0.0,6.2,19.5
2019-01-03 14:00:00,5.5,0.0,5.8,9.6
2019-01-03 15:00:00,5.3,0.0,5.1,1.9
2019-01-03 16:00:00,5.1,0.0,4.8,353.3
2019-01-03 17:00:00,4.4,0.0,4.4,352.8
2019-01-03 18:00:00,4.0,0.0,4.3,356.1
2019-01-03 19:00:00,4.2,0.0,4.6,353.9
2019-01-03 20:00:00,4.6,0.0,5.0,350.2
2019-01-03 21:00:00,5.0,0.0,5.5,343.9
2019-01-04 06:00:00,5.6,0.0,8.9,307.7
2019-01-04 07:00:00,5.6,0.0,9.3,299.0
2019-01-04 08:00:00,5.3,0.0,10.5,300.6
2019-01-04 09:00:00,5.6,0.0,9.7,300.2
2019-01-04 10:00:00,6.0,0.0,9.2,303.0
2019-01-04 11:00:00,6.1,0.0,9.2,308.7
2019-01-04 12:00:00,6.2,0.0,9.3,300.0
2019-01-04 13:00:00,6.8,0.0,9.4,309.4
2019-01-04 14:00:00,6.7,0.0,8.9,320.5
2019-01-04 15:00:00,6.9,0.0,9.4,319.2
2019-01-04 16:00:00,7.0,0.0,9.4,317.1
2019-01-04 17:00:00,6.8,0.0,10.2,318.2
2019-01-04 18:00:00,6.6,0.0,10.0,316.2
2019-01-04 19:00:00,6.8,0.0,10.4,316.5
2019-01-04 20:00:00,6.8,0.0,9.7,311.1
2019-01-04 21:00:00,6.8,0.0,9.6,304.3
2019-01-05 06:00:00,7.2,0.0,12.7,323.8
