validdate;t_2m:C;precip_1h:mm;effective_cloud_cover:octas;wind_speed_10m:ms;wind_dir_10m:d
2017-01-01T00:00:00Z;5.2;0.00;8;8.9;223.8
2017-01-01T01:00:00Z;5.2;0.00;8;9.1;223.8
2017-01-01T02:00:00Z;5.1;0.00;8;9.2;223.7
2017-01-01T03:00:00Z;5.1;0.00;8;9.4;223.7
2017-01-01T04:00:00Z;5.1;0.00;8;9.4;224.1
2017-01-01T05:00:00Z;5.2;0.00;8;9.4;224.6
2017-01-01T06:00:00Z;5.2;0.00;8;9.4;225.0
2017-01-01T07:00:00Z;5.2;0.00;8;9.3;223.5
2017-01-01T08:00:00Z;5.5;0.00;8;9.3;221.9
2017-01-01T09:00:00Z;5.3;0.00;8;9.2;220.4
2017-01-01T10:00:00Z;5.0;0.00;8;9.2;220.8
2017-01-01T11:00:00Z;4.6;0.03;8;9.2;221.3
2017-01-01T12:00:00Z;4.3;0.00;8;9.2;221.7
2017-01-01T13:00:00Z;3.9;0.00;8;9.2;221.9
2017-01-01T14:00:00Z;3.7;0.00;8;9.2;222.1
2017-01-01T15:00:00Z;3.4;0.00;8;9.2;222.2
2017-01-01T16:00:00Z;3.9;0.00;8;7.9;232.2
2017-01-01T17:00:00Z;4.3;0.15;8;6.5;247.6
2017-01-01T18:00:00Z;4.8;0.32;8;5.2;269.9
2017-01-01T19:00:00Z;5.1;0.00;8;4.9;282.2
2017-01-01T20:00:00Z;5.4;0.00;8;4.6;297.1
2017-01-01T21:00:00Z;5.7;0.00;8;4.4;312.9
2017-01-01T22:00:00Z;5.7;0.00;8;5.1;304.5
2017-01-01T23:00:00Z;5.7;0.00;8;5.9;298.3
2017-01-02T00:00:00Z;5.8;0.00;7;6.6;293.5
2017-01-02T01:00:00Z;5.5;0.00;6;7.4;305.0
2017-01-02T02:00:00Z;5.3;0.00;4;8.2;314.6
2017-01-02T03:00:00Z;5.1;0.00;1;9.0;322.2
2017-01-02T04:00:00Z;4.9;0.00;2;8.7;332.4
2017-01-02T05:00:00Z;4.7;0.00;3;8.4;343.8
2017-01-02T06:00:00Z;4.5;0.18;5;8.1;355.5
2017-01-02T07:00:00Z;4.9;0.02;4;7.5;353.1
2017-01-02T08:00:00Z;5.6;0.34;4;6.9;350.3
2017-01-02T09:00:00Z;5.9;0.15;4;6.4;347.0
2017-01-02T10:00:00Z;5.8;0.00;5;6.6;339.6
2017-01-02T11:00:00Z;5.7;0.00;6;6.8;332.6
2017-01-02T12:00:00Z;5.5;0.00;7;7.0;326.1
2017-01-02T13:00:00Z;5.6;0.13;7;7.6;325.0
2017-01-02T14:00:00Z;5.6;0.00;6;8.2;324.1
2017-01-02T15:00:00Z;5.6;0.24;6;8.7;323.3
2017-01-02T16:00:00Z;5.0;0.00;7;9.3;317.8
2017-01-02T17:00:00Z;4.7;0.00;7;9.8;312.8
2017-01-02T18:00:00Z;4.7;0.18;8;10.3;308.4
2017-01-02T19:00:00Z;4.9;0.00;7;10.3;308.0
2017-01-02T20:00:00Z;5.1;0.02;5;10.2;307.5
2017-01-02T21:00:00Z;5.3;0.02;4;10.1;307.1
2017-01-02T22:00:00Z;5.1;0.07;3;9.8;302.3
2017-01-02T23:00:00Z;5.0;0.08;3;9.4;297.1
2017-01-03T00:00:00Z;4.8;0.17;3;9.1;291.6
2017-01-03T01:00:00Z;5.2;0.00;5;8.9;291.5
2017-01-03T02:00:00Z;5.5;0.04;7;8.7;291.4
2017-01-03T03:00:00Z;5.9;0.00;8;8.4;291.3
2017-01-03T04:00:00Z;5.9;0.00;8;9.1;286.5
2017-01-03T05:00:00Z;5.8;0.00;8;9.7;282.3
2017-01-03T06:00:00Z;5.8;0.03;8;10.3;278.7
2017-01-03T07:00:00Z;6.3;0.37;8;10.7;277.0
2017-01-03T08:00:00Z;6.9;0.17;8;11.2;275.4
2017-01-03T09:00:00Z;7.2;0.14;8;11.6;274.0
2017-01-03T10:00:00Z;6.9;0.22;8;12.0;271.1
2017-01-03T11:00:00Z;6.7;0.41;8;12.4;268.5
2017-01-03T12:00:00Z;6.4;0.13;8;12.9;266.0
2017-01-03T13:00:00Z;6.7;0.65;8;13.0;266.4
2017-01-03T14:00:00Z;7.0;0.64;8;13.2;266.9
2017-01-03T15:00:00Z;7.3;0.42;8;13.4;267.3
2017-01-03T16:00:00Z;7.4;1.00;8;13.7;270.3
2017-01-03T17:00:00Z;7.4;0.38;8;14.0;273.3
2017-01-03T18:00:00Z;7.5;0.34;8;14.3;276.1
2017-01-03T19:00:00Z;7.5;0.04;8;14.7;279.4
2017-01-03T20:00:00Z;7.5;0.13;8;15.1;282.6
2017-01-03T21:00:00Z;7.5;0.00;8;15.5;285.7
2017-01-03T22:00:00Z;7.1;0.04;8;15.6;293.5
2017-01-03T23:00:00Z;6.7;0.01;7;15.7;301.3
2017-01-04T00:00:00Z;6.2;0.06;6;15.8;308.9
2017-01-04T01:00:00Z;6.1;0.06;5;15.9;309.1
2017-01-04T02:00:00Z;5.9;0.00;4;16.0;309.4
2017-01-04T03:00:00Z;5.8;0.00;3;16.1;309.6
2017-01-04T04:00:00Z;5.6;0.04;4;16.9;311.7
2017-01-04T05:00:00Z;5.4;0.04;5;17.6;313.7
2017-01-04T06:00:00Z;5.2;0.00;6;18.4;315.5
2017-01-04T07:00:00Z;5.2;0.00;5;18.0;314.2
2017-01-04T08:00:00Z;5.6;0.12;4;17.7;312.8
2017-01-04T09:00:00Z;5.7;0.08;3;17.4;311.4
2017-01-04T10:00:00Z;6.0;0.26;5;15.7;317.8
2017-01-04T11:00:00Z;6.1;0.32;7;14.0;326.0
2017-01-04T12:00:00Z;6.3;0.51;7;12.3;336.2
2017-01-04T13:00:00Z;6.2;0.00;7;11.5;340.8
2017-01-04T14:00:00Z;6.1;0.00;6;10.7;346.0
