Verkehrstage;Starthafen;Abfahrt;Schiff;Zielhafen;Ankunft;Verkehrsart;Bezeichnung;Rundfahrt;Kapazität;Sicht+buchbar;Handkasse;Automat;Spezial;Urlaubsservice;Kurbeitragskontrolle;Banderole ;Ein-Aussteiger
04.04.2017;NS;13:45:00;SP1;SP+;15:15:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
14.04.2017;NS;12:00:00;SP2;SP+;13:30:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
16.04.2017;NS;13:00:00;SP2;SP+;14:30:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
18.04.2017;NS;13:45:00;SP2;SP+;15:15:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
20.04.2017;NS;14:00:00;SP2;SP+;15:30:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
27.04.2017;NS;10:40:00;SP2;SP+;12:10:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
30.04.2017;NS;13:00:00;SP2;SP+;14:30:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
03.05.2017;NS;13:45:00;SP2;SP+;15:15:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
17.05.2017;NS;13:15:00;SP2;SP+;14:45:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
28.05.2017;NS;11:45:00;SP2;SP+;13:15:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
08.06.2017;NS;10:00:00;SP1;SP+;11:30:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
13.06.2017;NS;13:00:00;SP2;SP+;14:30:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
15.06.2017;NS;13:15:00;SP2;SP+;14:45:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
16.06.2017;NS;13:45:00;SP2;SP+;15:15:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
18.06.2017;NS;14:15:00;SP1;SP+;15:45:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
25.06.2017;NS;11:00:00;SP2;SP+;12:30:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
27.06.2017;NS;12:15:00;SP2;SP+;13:45:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
30.06.2017;NS;14:00:00;SP2;SP+;15:30:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
02.07.2017;NS;15:00:00;SP1;SP+;16:30:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
07.07.2017;NS;09:15:00;SP1;SP+;10:45:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
14.07.2017;NS;13:00:00;SP2;SP+;14:30:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
16.07.2017;NS;14:15:00;SP2;SP+;15:45:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
18.07.2017;NS;14:45:00;SP1;SP+;16:15:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
25.07.2017;NS;11:15:00;SP2;SP+;12:45:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
28.07.2017;NS;13:15:00;SP2;SP+;14:45:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
30.07.2017;NS;15:00:00;SP2;SP+;16:30:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
01.08.2017;NS;14:45:00;SP1;SP+;16:15:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
09.08.2017;NS;11:15:00;SP2;SP+;12:45:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
11.08.2017;NS;12:15:00;SP2;SP+;13:45:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
13.08.2017;NS;13:15:00;SP2;SP+;14:45:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
15.08.2017;NS;14:45:00;SP2;SP+;16:15:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
22.08.2017;NS;10:15:00;SP2;SP+;11:45:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
25.08.2017;NS;12:15:00;SP2;SP+;13:45:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
27.08.2017;NS;13:15:00;SP2;SP+;14:45:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
29.08.2017;NS;14:40:00;SP2;SP+;16:10:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
31.08.2017;NS;14:45:00;SP1;SP+;16:15:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
05.09.2017;NS;10:00:00;SP1;SP+;11:30:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
10.09.2017;NS;12:40:00;SP2;SP+;14:10:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
08.10.2017;NS;11:40:00;SP2;SP+;13:10:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
10.10.2017;NS;13:45:00;SP1;SP+;15:15:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
12.10.2017;NS;14:15:00;SP2;SP+;15:45:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
22.10.2017;NS;11:30:00;SP2;SP+;13:00:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
24.10.2017;NS;12:40:00;SP2;SP+;14:10:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
26.10.2017;NS;13:15:00;SP2;SP+;14:45:00;4;Ausflugsfahrten 2017;0;1;1;1;0;;0;0;Banderole 1;0
