Verkehrstage;Starthafen;Abfahrt;Schiff;Zielhafen;Ankunft;Verkehrsart;Bezeichnung;Rundfahrt;Kapazität;Sicht+buchbar;Handkasse;Automat;Spezial;Urlaubsservice;Kurbeitragskontrolle;Banderole ;Ein-Aussteiger
22.01.2018;NS;11:15:00;SP4;SP;11:55:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
23.01.2018;NS;11:45:00;SP4;SP;12:25:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
24.01.2018;NS;06:00:00;SP4;SP;06:40:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
25.01.2018;NS;06:00:00;SP4;SP;06:40:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
26.01.2018;NS;07:30:00;SP4;SP;08:10:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
29.01.2018;NS;07:30:00;SP4;SP;08:10:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
30.01.2018;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
30.01.2018;NS;11:00:00;SP4;SP;11:40:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
31.01.2018;NS;08:00:00;SP4;SP;08:40:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
31.01.2018;NS;12:00:00;SP4;SP;12:40:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
01.02.2018;NS;08:45:00;SP4;SP;09:25:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
02.02.2018;NS;09:40:00;SP4;SP;10:20:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
05.02.2018;NS;11:45:00;SP4;SP;12:25:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
06.02.2018;NS;12:00:00;SP4;SP;12:40:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
