Verkehrstage;Starthafen;Abfahrt;Schiff;Zielhafen;Ankunft;Verkehrsart;Bezeichnung;Rundfahrt;Kapazität;Sicht+buchbar;Handkasse;Automat;Spezial;Urlaubsservice;Kurbeitragskontrolle;Banderole ;Ein-Aussteiger
21.01.2022;NS;15:10:00;SP1;SP;15:50:00;1;Fahrplan 2022;0;10;1;1;1;;1;0;Banderole 1;0
22.01.2022;NS;10:45:00;SP1;SP;11:25:00;1;Fahrplan 2022;0;10;1;1;1;;1;0;Banderole 1;0
22.01.2022;NS;15:45:00;SP1;SP;16:25:00;1;Fahrplan 2022;0;10;1;1;1;;1;0;Banderole 1;0
23.01.2022;NS;16:10:00;SP1;SP;16:50:00;1;Fahrplan 2022;0;10;1;1;1;;1;0;Banderole 1;0
25.01.2022;NS;17:10:00;SP1;SP;17:50:00;1;Fahrplan 2022;0;10;1;1;1;;1;0;Banderole 1;0
28.01.2022;NS;18:10:00;SP1;SP;18:50:00;1;Fahrplan 2022;0;10;1;1;1;;1;0;Banderole 1;0
29.01.2022;NS;09:10:00;SP1;SP;09:50:00;1;Fahrplan 2022;0;10;1;1;1;;1;0;Banderole 1;0
29.01.2022;NS;17:10:00;SP1;SP;17:50:00;1;Fahrplan 2022;0;10;1;1;1;;1;0;Banderole 1;0
19.02.2022;NS;15:00:00;SP1;SP;15:40:00;1;Fahrplan 2022;0;10;1;1;1;;1;0;Banderole 1;0
20.02.2022;NS;15:10:00;SP1;SP;15:50:00;1;Fahrplan 2022;0;10;1;1;1;;1;0;Banderole 1;0
22.02.2022;NS;11:45:00;SP1;SP;12:25:00;1;Fahrplan 2022;0;10;1;1;1;;1;0;Banderole 1;0
22.02.2022;NS;16:45:00;SP1;SP;17:25:00;1;Fahrplan 2022;0;10;1;1;1;;1;0;Banderole 1;0
24.02.2022;NS;18:00:00;SP1;SP;18:40:00;1;Fahrplan 2022;0;10;1;1;1;;1;0;Banderole 1;0
25.02.2022;NS;13:45:00;SP1;SP;14:25:00;1;Fahrplan 2022;0;10;1;1;1;;1;0;Banderole 1;0
25.02.2022;NS;18:45:00;SP1;SP;19:25:00;1;Fahrplan 2022;0;10;1;1;1;;1;0;Banderole 1;0
26.02.2022;NS;07:45:00;SP1;SP;08:25:00;1;Fahrplan 2022;0;10;1;1;1;;1;0;Banderole 1;0
26.02.2022;NS;15:45:00;SP1;SP;16:25:00;1;Fahrplan 2022;0;10;1;1;1;;1;0;Banderole 1;0
27.02.2022;NS;09:10:00;SP1;SP;09:50:00;1;Fahrplan 2022;0;10;1;1;1;;1;0;Banderole 1;0
27.02.2022;NS;16:45:00;SP1;SP;17:25:00;1;Fahrplan 2022;0;10;1;1;1;;1;0;Banderole 1;0
28.02.2022;NS;10:45:00;SP1;SP;11:25:00;1;Fahrplan 2022;0;10;1;1;1;;1;0;Banderole 1;0
28.02.2022;NS;18:00:00;SP1;SP;18:40:00;1;Fahrplan 2022;0;10;1;1;1;;1;0;Banderole 1;0
02.03.2022;NS;20:00:00;SP1;SP;20:40:00;1;Fahrplan 2022;0;10;1;1;1;;1;0;Banderole 1;0
02.04.2022;NS;09:45:00;SP1;SP;10:25:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
02.04.2022;NS;14:45:00;SP1;SP;15:25:00;1;Fahrplan 2022;0;1;0;0;0;;0;0;Banderole 1;0
03.04.2022;NS;10:45:00;SP1;SP;11:25:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
03.04.2022;NS;15:10:00;SP1;SP;15:50:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
04.04.2022;NS;10:45:00;SP1;SP;11:25:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
04.04.2022;NS;16:00:00;SP1;SP;16:40:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
05.04.2022;NS;11:45:00;SP1;SP;12:25:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
05.04.2022;NS;16:10:00;SP1;SP;16:50:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
06.04.2022;NS;11:45:00;SP1;SP;12:25:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
06.04.2022;NS;17:00:00;SP1;SP;17:40:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
07.04.2022;NS;12:00:00;SP1;SP;12:40:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
09.04.2022;NS;12:45:00;SP1;SP;13:25:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
10.04.2022;NS;13:45:00;SP1;SP;14:25:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
12.04.2022;NS;10:10:00;SP1;SP;10:50:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
12.04.2022;NS;17:45:00;SP1;SP;18:25:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
13.04.2022;NS;11:10:00;SP1;SP;11:50:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
14.04.2022;NS;12:10:00;SP1;SP;12:50:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
15.04.2022;NS;09:10:00;SP1;SP;09:50:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
15.04.2022;NS;13:10:00;SP1;SP;13:50:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
16.04.2022;NS;09:00:00;SP1;SP;09:40:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
16.04.2022;NS;14:00:00;SP1;SP;14:40:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
17.04.2022;NS;10:10:00;SP1;SP;10:50:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
17.04.2022;NS;14:10:00;SP1;SP;14:50:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
18.04.2022;NS;10:00:00;SP1;SP;10:40:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
18.04.2022;NS;14:45:00;SP1;SP;15:25:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
19.04.2022;NS;10:45:00;SP1;SP;11:25:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
19.04.2022;NS;15:45:00;SP1;SP;16:25:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
20.04.2022;NS;11:10:00;SP1;SP;11:50:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
20.04.2022;NS;16:10:00;SP1;SP;16:50:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
21.04.2022;NS;12:00:00;SP1;SP;12:40:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
21.04.2022;NS;17:00:00;SP1;SP;17:40:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
23.04.2022;NS;13:00:00;SP1;SP;13:40:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
23.04.2022;NS;17:45:00;SP1;SP;18:25:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
24.04.2022;NS;07:10:00;SP1;SP;07:50:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
24.04.2022;NS;15:00:00;SP1;SP;15:40:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
25.04.2022;NS;08:45:00;SP1;SP;09:25:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
25.04.2022;NS;16:00:00;SP1;SP;16:40:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
26.04.2022;NS;10:10:00;SP1;SP;10:50:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
26.04.2022;NS;17:45:00;SP1;SP;18:25:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
27.04.2022;NS;18:45:00;SP1;SP;19:25:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
28.04.2022;NS;08:45:00;SP1;SP;09:25:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
28.04.2022;NS;12:10:00;SP1;SP;12:50:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
28.04.2022;NS;19:45:00;SP1;SP;20:25:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
29.04.2022;NS;13:10:00;SP1;SP;13:50:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
29.04.2022;NS;20:15:00;SP1;SP;20:55:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
30.04.2022;NS;10:10:00;SP1;SP;10:50:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
30.04.2022;NS;14:00:00;SP1;SP;14:40:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
01.05.2022;NS;09:45:00;SP1;SP;10:25:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
01.05.2022;NS;14:10:00;SP1;SP;14:50:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
02.05.2022;NS;09:45:00;SP1;SP;10:25:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
02.05.2022;NS;15:00:00;SP1;SP;15:40:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
03.05.2022;NS;10:10:00;SP1;SP;10:50:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
03.05.2022;NS;15:10:00;SP1;SP;15:50:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
04.05.2022;NS;10:45:00;SP1;SP;11:25:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
04.05.2022;NS;16:00:00;SP1;SP;16:40:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
05.05.2022;NS;11:10:00;SP1;SP;11:50:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
05.05.2022;NS;16:10:00;SP1;SP;16:50:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
06.05.2022;NS;11:45:00;SP1;SP;12:25:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
06.05.2022;NS;17:00:00;SP1;SP;17:40:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
07.05.2022;NS;12:00:00;SP1;SP;12:40:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
07.05.2022;NS;17:10:00;SP1;SP;17:50:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
08.05.2022;NS;12:45:00;SP1;SP;13:25:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
08.05.2022;NS;17:45:00;SP1;SP;18:25:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
09.05.2022;NS;13:45:00;SP1;SP;14:25:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
09.05.2022;NS;17:45:00;SP1;SP;18:25:00;1;Fahrplan 2022;0;1;1;1;1;;1;0;Banderole 1;0
