Verkehrstage;Starthafen;Abfahrt;SchSP1ff;Zielhafen;Ankunft;Verkehrsart;Bezeichnung;Rundfahrt;Kapazität;Sicht+buchbar;Handkasse;Automat;Spezial;Urlaubsservice;Kurbeitragskontrolle;Banderole ;Ein-Aussteiger
21.01.2023;NS;13:40:00;SP2;SP;14:20:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
22.01.2023;NS;14:15:00;SP2;SP;14:55:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
27.01.2023;NS;18:00:00;SP2;SP;18:40:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
28.01.2023;NS;14:15:00;SP2;SP;14:55:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
28.01.2023;NS;18:40:00;SP2;SP;19:20:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
29.01.2023;NS;14:40:00;SP2;SP;15:20:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
29.01.2023;NS;19:40:00;SP2;SP;20:20:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
30.01.2023;NS;13:45:00;SP2;SP;14:25:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
30.01.2023;NS;19:40:00;SP2;SP;20:20:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
31.01.2023;NS;09:00:00;SP2;SP;09:40:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
31.01.2023;NS;17:40:00;SP2;SP;18:20:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
01.02.2023;NS;17:40:00;SP2;SP;18:20:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
02.02.2023;NS;18:40:00;SP2;SP;19:20:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
03.02.2023;NS;19:40:00;SP2;SP;20:20:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
04.02.2023;NS;09:40:00;SP2;SP;10:20:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
04.02.2023;NS;13:40:00;SP2;SP;14:20:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
05.02.2023;NS;14:15:00;SP2;SP;14:55:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
09.02.2023;NS;11:40:00;SP2;SP;12:20:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
09.02.2023;NS;16:40:00;SP2;SP;17:20:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
04.03.2023;NS;12:40:00;SP2;SP;13:20:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
05.03.2023;NS;13:15:00;SP2;SP;13:55:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
05.03.2023;NS;20:15:00;SP2;SP;20:55:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
09.03.2023;NS;15:40:00;SP2;SP;16:20:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
10.03.2023;NS;16:15:00;SP2;SP;16:55:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
11.03.2023;NS;11:40:00;SP2;SP;12:20:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
11.03.2023;NS;16:40:00;SP2;SP;17:20:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
12.03.2023;NS;15:40:00;SP2;SP;16:20:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
14.03.2023;NS;17:40:00;SP2;SP;18:20:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
16.03.2023;NS;17:40:00;SP2;SP;18:20:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
17.03.2023;NS;18:40:00;SP2;SP;19:20:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
18.03.2023;NS;10:40:00;SP2;SP;11:20:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
18.03.2023;NS;17:40:00;SP2;SP;18:20:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
19.03.2023;NS;11:40:00;SP2;SP;12:20:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
20.03.2023;NS;20:15:00;SP2;SP;20:55:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
23.03.2023;NS;10:40:00;SP2;SP;11:20:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
23.03.2023;NS;15:40:00;SP2;SP;16:20:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
24.03.2023;NS;11:15:00;SP2;SP;11:55:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
24.03.2023;NS;16:15:00;SP2;SP;16:55:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
25.03.2023;NS;11:40:00;SP2;SP;12:20:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
25.03.2023;NS;16:40:00;SP2;SP;17:20:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
26.03.2023;NS;13:15:00;SP2;SP;13:55:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
