Verkehrstage;Starthafen;Abfahrt;Schiff;Zielhafen;Ankunft;Verkehrsart;Bezeichnung;Rundfahrt;Kapazität;Sicht+buchbar;Handkasse;Automat;Spezial;Urlaubsservice;Kurbeitragskontrolle;Banderole ;Ein-Aussteiger
09.04.2019;NS;12:45:00;SP2;SP+;14:15:00;4;Seehundsbänke + Insel;0;1;0;1;1;;1;0;Banderole 1;0
11.04.2019;NS;13:45:00;SP2;SP+;15:15:00;4;Seehundsbänke + Insel;0;1;0;1;1;;1;0;Banderole 1;0
19.04.2019;NS;10:15:00;SP4;SHD;13:00:00;4;Seehundsbänke;1;1;0;1;1;;1;0;Banderole 1;0
19.04.2019;NS;10:15:00;SP4;SP+;11:45:00;4;Seehundsbänke + Insel;0;1;0;1;1;;1;0;Banderole 1;0
21.04.2019;NS;11:30:00;SP2;SP+;13:00:00;4;Seehundsbänke + Insel;0;1;0;1;1;;1;0;Banderole 1;0
22.04.2019;NS;12:15:00;SP2;SP+;13:45:00;4;Seehundsbänke + Insel;0;1;0;1;1;;1;0;Banderole 1;0
24.04.2019;NS;13:15:00;SP2;SP+;14:45:00;4;Seehundsbänke + Insel;0;1;0;1;1;;1;0;Banderole 1;0
26.04.2019;NS;14:15:00;SP2;SP+;15:45:00;4;Seehundsbänke + Insel;0;1;0;1;1;;1;0;Banderole 1;0
01.05.2019;NS;11:45:00;SP4;SP+;13:15:00;4;Seehundsbänke + Insel;0;1;0;1;1;;1;0;Banderole 1;0
05.05.2019;NS;09:45:00;SP4;SHD;12:15:00;4;Seehundsbänke;1;1;0;1;1;;1;0;Banderole 1;0
05.05.2019;NS;09:45:00;SP4;SP+;11:15:00;4;Seehundsbänke + Insel;0;1;0;1;1;;1;0;Banderole 1;0
08.05.2019;NS;15:00:00;SP4;SHD;17:30:00;4;Seehundsbänke;1;1;0;1;1;;1;0;Banderole 1;0
11.05.2019;NS;12:45:00;SP4;SHD;15:15:00;4;Seehundsbänke;1;1;0;1;1;;1;0;Banderole 1;0
11.05.2019;NS;12:45:00;SP4;SP+;14:15:00;4;Seehundsbänke + Insel;0;1;0;1;1;;1;0;Banderole 1;0
19.05.2019;NS;10:30:00;SP4;SHD;13:00:00;4;Seehundsbänke;1;1;0;1;1;;1;0;Banderole 1;0
19.05.2019;NS;10:30:00;SP4;SP+;12:00:00;4;Seehundsbänke + Insel;0;1;0;1;1;;1;0;Banderole 1;0
23.05.2019;NS;13:00:00;SP2;SP+;14:30:00;4;Seehundsbänke + Insel;0;1;0;1;1;;1;0;Banderole 1;0
25.05.2019;NS;13:00:00;SP4;SHD;15:45:00;4;Seehundsbänke;1;1;0;1;1;;1;0;Banderole 1;0
25.05.2019;NS;13:00:00;SP4;SP+;14:30:00;4;Seehundsbänke + Insel;0;1;0;1;1;;1;0;Banderole 1;0
30.05.2019;NS;09:45:00;SP4;SHD;12:30:00;4;Seehundsbänke;1;1;0;1;1;;1;0;Banderole 1;0
30.05.2019;NS;09:45:00;SP4;SP+;11:15:00;4;Seehundsbänke + Insel;0;1;0;1;1;;1;0;Banderole 1;0
01.06.2019;NS;09:00:00;SP1;SHD;11:45:00;4;Seehundsbänke;1;1;0;1;1;;1;0;Banderole 1;0
01.06.2019;NS;09:00:00;SP1;SP+;10:30:00;4;Seehundsbänke + Insel;0;1;0;1;1;;1;0;Banderole 1;0
04.06.2019;NS;09:45:00;SP1;SP+;11:15:00;4;Seehundsbänke + Insel;0;1;0;1;1;;1;0;Banderole 1;0
06.06.2019;NS;11:45:00;SP2;SP+;13:15:00;4;Seehundsbänke + Insel;0;1;0;1;1;;1;0;Banderole 1;0
09.06.2019;NS;14:15:00;SP2;SP+;15:45:00;4;Seehundsbänke + Insel;0;1;0;1;1;;1;0;Banderole 1;0
10.06.2019;NS;14:00:00;SP4;SHD;16:30:00;4;Seehundsbänke;1;1;0;1;1;;1;0;Banderole 1;0
10.06.2019;NS;14:00:00;SP4;SP+;15:30:00;4;Seehundsbänke + Insel;0;1;0;1;1;;1;0;Banderole 1;0
15.06.2019;NS;11:15:00;SP4;SHD;13:45:00;4;Seehundsbänke;1;1;0;1;1;;1;0;Banderole 1;0
16.06.2019;NS;09:30:00;SP1;SHD;12:00:00;4;Seehundsbänke;1;1;0;1;1;;1;0;Banderole 1;0
16.06.2019;NS;09:30:00;SP1;SP+;11:00:00;4;Seehundsbänke + Insel;0;1;0;1;1;;1;0;Banderole 1;0
19.06.2019;NS;11:45:00;SP2;WAT;15:45:00;4;Rund um Spiekeroog;1;1;0;1;1;;1;0;Banderole 1;0
20.06.2019;NS;11:45:00;SP2;SP+;13:15:00;4;Seehundsbänke + Insel;0;1;0;1;1;;1;0;Banderole 1;0
22.06.2019;NS;13:00:00;SP2;SP+;14:30:00;4;Seehundsbänke + Insel;0;1;0;1;1;;1;0;Banderole 1;0
25.06.2019;NS;14:00:00;SP1;SHD;16:30:00;4;Seehundsbänke;1;1;0;1;1;;1;0;Banderole 1;0
25.06.2019;NS;14:00:00;SP1;SP+;15:30:00;4;Seehundsbänke + Insel;0;1;0;1;1;;1;0;Banderole 1;0
30.06.2019;NS;10:30:00;SP1;SHD;13:00:00;4;Seehundsbänke;1;1;0;1;1;;1;0;Banderole 1;0
