Verkehrstage;Starthafen;Abfahrt;Schiff;Zielhafen;Ankunft;Verkehrsart;Bezeichnung;Rundfahrt;Kapazität;Sicht+buchbar;Handkasse;Automat;Spezial;Urlaubsservice;Kurbeitragskontrolle;Banderole ;Ein-Aussteiger
05.04.2019;NS;10:45:00;SP2;SP;11:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
05.04.2019;NS;15:30:00;SP2;SP;16:10:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
06.04.2019;NS;11:30:00;SP2;SP;12:10:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
06.04.2019;NS;16:15:00;SP2;SP;16:55:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
08.04.2019;NS;12:00:00;SP2;SP;12:40:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
12.04.2019;NS;13:00:00;SP2;SP;13:40:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
12.04.2019;NS;18:45:00;SP2;SP;19:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
13.04.2019;NS;14:15:00;SP2;SP;14:55:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
14.04.2019;NS;09:20:00;SP2;SP;10:00:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
14.04.2019;NS;17:45:00;SP2;SP;18:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
15.04.2019;NS;09:45:00;SP2;SP;10:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
15.04.2019;NS;18:45:00;SP2;SP;19:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
16.04.2019;NS;19:25:00;SP2;SP;20:05:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
17.04.2019;NS;09:45:00;SP2;SP;10:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
17.04.2019;NS;20:15:00;SP2;SP;20:55:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
18.04.2019;NS;10:00:00;SP2;SP;10:40:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
18.04.2019;NS;20:15:00;SP2;SP;20:55:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
19.04.2019;NS;10:30:00;SP2;SP;11:10:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
20.04.2019;NS;11:00:00;SP2;SP;11:40:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
23.04.2019;NS;18:00:00;SP2;SP;18:40:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
25.04.2019;NS;13:45:00;SP2;SP;14:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
25.04.2019;NS;19:00:00;SP2;SP;19:40:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
27.04.2019;NS;15:00:00;SP2;SP;15:40:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
28.04.2019;NS;09:15:00;SP2;SP;09:55:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
28.04.2019;NS;17:45:00;SP2;SP;18:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
29.04.2019;NS;09:45:00;SP2;SP;10:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
29.04.2019;NS;17:45:00;SP2;SP;18:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
30.04.2019;NS;10:45:00;SP2;SP;11:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
30.04.2019;NS;19:00:00;SP2;SP;19:40:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
01.05.2019;NS;10:45:00;SP2;SP;11:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
01.05.2019;NS;20:00:00;SP2;SP;20:40:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
02.05.2019;NS;09:45:00;SP2;SP;10:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
02.05.2019;NS;19:45:00;SP2;SP;20:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
03.05.2019;NS;09:15:00;SP2;SP;09:55:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
03.05.2019;NS;20:15:00;SP2;SP;20:55:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
04.05.2019;NS;09:45:00;SP2;SP;10:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
04.05.2019;NS;15:00:00;SP2;SP;15:40:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
05.05.2019;NS;10:45:00;SP2;SP;11:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
05.05.2019;NS;15:45:00;SP2;SP;16:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
06.05.2019;NS;11:00:00;SP2;SP;11:40:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
06.05.2019;NS;16:15:00;SP2;SP;16:55:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
07.05.2019;NS;11:45:00;SP2;SP;12:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
07.05.2019;NS;16:45:00;SP2;SP;17:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
08.05.2019;NS;12:15:00;SP2;SP;12:55:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
08.05.2019;NS;17:25:00;SP2;SP;18:05:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
09.05.2019;NS;12:45:00;SP2;SP;13:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
09.05.2019;NS;18:00:00;SP2;SP;18:40:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
10.05.2019;NS;13:15:00;SP2;SP;13:55:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
10.05.2019;NS;18:45:00;SP2;SP;19:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
11.05.2019;NS;14:00:00;SP2;SP;14:40:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
11.05.2019;NS;18:45:00;SP2;SP;19:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
12.05.2019;NS;08:15:00;SP2;SP;08:55:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
12.05.2019;NS;16:45:00;SP2;SP;17:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
13.05.2019;NS;09:15:00;SP2;SP;09:55:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
13.05.2019;NS;17:45:00;SP2;SP;18:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
14.05.2019;NS;10:45:00;SP2;SP;11:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
14.05.2019;NS;17:45:00;SP2;SP;18:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
15.05.2019;NS;10:45:00;SP2;SP;11:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
15.05.2019;NS;19:00:00;SP2;SP;19:40:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
16.05.2019;NS;09:45:00;SP2;SP;10:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
16.05.2019;NS;13:15:00;SP2;SP;13:55:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
16.05.2019;NS;20:00:00;SP2;SP;20:40:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
17.05.2019;NS;09:45:00;SP2;SP;10:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
17.05.2019;NS;14:00:00;SP2;SP;14:40:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
17.05.2019;NS;20:50:00;SP2;SP;21:30:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
18.05.2019;NS;09:45:00;SP2;SP;10:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
18.05.2019;NS;15:00:00;SP2;SP;15:40:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
22.05.2019;NS;17:30:00;SP2;SP;18:10:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
24.05.2019;NS;13:15:00;SP2;SP;13:55:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
24.05.2019;NS;18:30:00;SP2;SP;19:10:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
27.05.2019;NS;08:45:00;SP2;SP;09:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
27.05.2019;NS;17:45:00;SP2;SP;18:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
28.05.2019;NS;09:45:00;SP2;SP;10:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
28.05.2019;NS;17:45:00;SP2;SP;18:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
29.05.2019;NS;10:40:00;SP2;SP;11:20:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
29.05.2019;NS;19:45:00;SP2;SP;20:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
30.05.2019;NS;10:00:00;SP2;SP;10:40:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
30.05.2019;NS;19:30:00;SP2;SP;20:10:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
31.05.2019;NS;09:45:00;SP2;SP;10:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
31.05.2019;NS;20:00:00;SP2;SP;20:40:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
01.06.2019;NS;09:45:00;SP2;SP;10:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
01.06.2019;NS;20:30:00;SP2;SP;21:10:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
02.06.2019;NS;09:15:00;SP2;SP;09:55:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
02.06.2019;NS;14:30:00;SP2;SP;15:10:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
07.06.2019;NS;12:45:00;SP2;SP;13:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
07.06.2019;NS;17:45:00;SP2;SP;18:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
08.06.2019;NS;13:15:00;SP2;SP;13:55:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
08.06.2019;NS;17:45:00;SP2;SP;18:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
09.06.2019;NS;19:30:00;SP2;SP;20:10:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
10.06.2019;NS;15:00:00;SP2;SP;15:40:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
11.06.2019;NS;09:25:00;SP2;SP;10:05:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
11.06.2019;NS;17:45:00;SP2;SP;18:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
13.06.2019;NS;10:45:00;SP2;SP;11:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
13.06.2019;NS;18:45:00;SP2;SP;19:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
14.06.2019;NS;19:30:00;SP2;SP;20:10:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
15.06.2019;NS;20:25:00;SP2;SP;21:05:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
16.06.2019;NS;09:15:00;SP2;SP;09:55:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
16.06.2019;NS;20:15:00;SP2;SP;20:55:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
19.06.2019;NS;11:45:00;SP2;SP;12:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
19.06.2019;NS;16:15:00;SP2;SP;16:55:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
21.06.2019;NS;12:45:00;SP2;SP;13:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
21.06.2019;NS;17:45:00;SP2;SP;18:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
25.06.2019;NS;13:30:00;SP2;SP;14:10:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
25.06.2019;NS;17:45:00;SP2;SP;18:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
26.06.2019;NS;09:00:00;SP2;SP;09:40:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
26.06.2019;NS;17:45:00;SP2;SP;18:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
27.06.2019;NS;09:45:00;SP2;SP;10:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
28.06.2019;NS;18:45:00;SP2;SP;19:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
29.06.2019;NS;10:45:00;SP2;SP;11:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
29.06.2019;NS;19:00:00;SP2;SP;19:40:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
30.06.2019;NS;10:45:00;SP2;SP;11:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
30.06.2019;NS;20:00:00;SP2;SP;20:40:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
01.07.2019;NS;08:45:00;SP2;SP;09:25:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
01.07.2019;NS;20:40:00;SP2;SP;21:20:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
02.07.2019;NS;10:00:00;SP2;SP;10:40:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
03.07.2019;NS;10:00:00;SP2;SP;10:40:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
04.07.2019;NS;11:00:00;SP2;SP;11:40:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
04.07.2019;NS;16:10:00;SP2;SP;16:50:00;1;Fahrplan 2019;0;1;1;1;1;;1;0;Banderole 1;0
