Verkehrstage;Starthafen;;SchSP1ff;Zielhafen;Ankunft;Verkehrsart;Bezeichnung;Rundfahrt;Kapazität;Sicht+buchbar;Handkasse;Automat;Spezial;Urlaubsservice;Kurbeitragskontrolle;Banderole ;Ein-Aussteiger
08.02.2020;NS;19:15:00;SP2;SP;19:55:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
29.02.2020;NS;12:15:00;SP2;SP;12:55:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
29.02.2020;NS;17:40:00;SP2;SP;18:20:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
01.03.2020;NS;12:40:00;SP2;SP;13:20:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
01.03.2020;NS;18:10:00;SP2;SP;18:50:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
02.03.2020;NS;13:40:00;SP2;SP;14:20:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
02.03.2020;NS;18:40:00;SP2;SP;19:20:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
03.03.2020;NS;18:40:00;SP2;SP;19:20:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
05.03.2020;NS;17:40:00;SP2;SP;18:20:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
06.03.2020;NS;10:45:00;SP2;SP;11:25:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
06.03.2020;NS;18:45:00;SP2;SP;19:25:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
07.03.2020;NS;10:45:00;SP2;SP;11:25:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
07.03.2020;NS;19:15:00;SP2;SP;19:55:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
08.03.2020;NS;11:45:00;SP2;SP;12:25:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
08.03.2020;NS;20:10:00;SP2;SP;20:50:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
09.03.2020;NS;14:10:00;SP2;SP;14:50:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
10.03.2020;NS;14:45:00;SP2;SP;15:25:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
12.03.2020;NS;16:15:00;SP2;SP;16:55:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
13.03.2020;NS;12:40:00;SP2;SP;13:20:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
13.03.2020;NS;17:10:00;SP2;SP;17:50:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
14.03.2020;NS;12:45:00;SP2;SP;13:25:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
14.03.2020;NS;17:45:00;SP2;SP;18:25:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
15.03.2020;NS;13:15:00;SP2;SP;13:55:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
15.03.2020;NS;18:40:00;SP2;SP;19:20:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
16.03.2020;NS;18:45:00;SP2;SP;19:25:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
17.03.2020;NS;13:10:00;SP2;SP;13:50:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
17.03.2020;NS;18:45:00;SP2;SP;19:25:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
18.03.2020;NS;08:45:00;SP2;SP;09:25:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
18.03.2020;NS;17:45:00;SP2;SP;18:25:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
19.03.2020;NS;09:45:00;SP2;SP;10:25:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
19.03.2020;NS;18:45:00;SP2;SP;19:25:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
20.03.2020;NS;10:45:00;SP2;SP;11:25:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
20.03.2020;NS;18:45:00;SP2;SP;19:25:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
21.03.2020;NS;10:45:00;SP2;SP;11:25:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
21.03.2020;NS;19:45:00;SP2;SP;20:25:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
22.03.2020;NS;10:45:00;SP2;SP;11:25:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
22.03.2020;NS;20:20:00;SP2;SP;21:00:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
23.03.2020;NS;13:45:00;SP2;SP;14:25:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
24.03.2020;NS;14:40:00;SP2;SP;15:20:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
25.03.2020;NS;15:15:00;SP2;SP;15:55:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
26.03.2020;NS;10:40:00;SP2;SP;11:20:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
26.03.2020;NS;15:40:00;SP2;SP;16:20:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
27.03.2020;NS;11:00:00;SP2;SP;11:40:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
27.03.2020;NS;16:10:00;SP2;SP;16:50:00;1;Fahrplan 2020;0;10;1;1;1;;1;0;Banderole 1;0
03.04.2020;NS;09:45:00;SP2;SP;10:25:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
03.04.2020;NS;17:45:00;SP2;SP;18:25:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
04.04.2020;NS;09:45:00;SP2;SP;10:25:00;1;Fahrplan 2020;0;1;1;1;1;;1;0;Banderole 1;0
