Verkehrstage;Starthafen;Abfahrt;Schiff;Zielhafen;Ankunft;Verkehrsart;Bezeichnung;Rundfahrt;Kapazität;Sicht+buchbar;Handkasse;Automat;Spezial;Urlaubsservice;Kurbeitragskontrolle;Banderole ;Ein-Aussteiger
23.01.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;10;1;1;1;;1;0;Banderole 1;0
24.01.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;10;1;1;1;;1;0;Banderole 1;0
25.01.2017;NS;06:15:00;SP4;SP;06:55:00;1;Fahrplan 2017;0;10;1;1;1;;1;0;Banderole 1;0
25.01.2017;NS;10:00:00;SP4;SP;10:40:00;1;Fahrplan 2017;0;10;1;1;1;;1;0;Banderole 1;0
26.01.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;10;1;1;1;;1;0;Banderole 1;0
27.01.2017;NS;07:45:00;SP4;SP;08:25:00;1;Fahrplan 2017;0;10;1;1;1;;1;0;Banderole 1;0
30.01.2017;NS;09:45:00;SP4;SP;10:25:00;1;Fahrplan 2017;0;10;1;1;1;;1;0;Banderole 1;0
31.01.2017;NS;10:15:00;SP4;SP;10:55:00;1;Fahrplan 2017;0;10;1;1;1;;1;0;Banderole 1;0
01.02.2017;NS;11:00:00;SP4;SP;11:40:00;1;Fahrplan 2017;0;10;1;1;1;;1;0;Banderole 1;0
02.02.2017;NS;11:45:00;SP4;SP;12:25:00;1;Fahrplan 2017;0;10;1;1;1;;1;0;Banderole 1;0
03.02.2017;NS;12:20:00;SP4;SP;13:00:00;1;Fahrplan 2017;0;10;1;1;1;;1;0;Banderole 1;0
24.02.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;10;1;1;1;;1;0;Banderole 1;0
27.02.2017;NS;08:45:00;SP4;SP;09:25:00;1;Fahrplan 2017;0;10;1;1;1;;1;0;Banderole 1;0
28.02.2017;NS;09:10:00;SP4;SP;09:50:00;1;Fahrplan 2017;0;10;1;1;1;;1;0;Banderole 1;0
01.03.2017;NS;10:00:00;SP4;SP;10:40:00;1;Fahrplan 2017;0;10;1;1;1;;1;0;Banderole 1;0
02.03.2017;NS;10:45:00;SP4;SP;11:25:00;1;Fahrplan 2017;0;10;1;1;1;;1;0;Banderole 1;0
03.03.2017;NS;11:15:00;SP4;SP;11:55:00;1;Fahrplan 2017;0;10;1;1;1;;1;0;Banderole 1;0
06.03.2017;NS;07:15:00;SP4;SP;07:55:00;1;Fahrplan 2017;0;10;1;1;1;;1;0;Banderole 1;0
07.03.2017;NS;06:00:00;SP4;SP;06:40:00;1;Fahrplan 2017;0;10;1;1;1;;1;0;Banderole 1;0
08.03.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;10;1;1;1;;1;0;Banderole 1;0
09.03.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;10;1;1;1;;1;0;Banderole 1;0
10.03.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;10;1;1;1;;1;0;Banderole 1;0
13.03.2017;NS;09:00:00;SP4;SP;09:40:00;1;Fahrplan 2017;0;10;1;1;1;;1;0;Banderole 1;0
14.03.2017;NS;09:15:00;SP4;SP;09:55:00;1;Fahrplan 2017;0;10;1;1;1;;1;0;Banderole 1;0
15.03.2017;NS;10:00:00;SP4;SP;10:40:00;1;Fahrplan 2017;0;10;1;1;1;;1;0;Banderole 1;0
16.03.2017;NS;10:30:00;SP4;SP;11:10:00;1;Fahrplan 2017;0;10;1;1;1;;1;0;Banderole 1;0
17.03.2017;NS;11:00:00;SP4;SP;11:40:00;1;Fahrplan 2017;0;10;1;1;1;;1;0;Banderole 1;0
20.03.2017;NS;06:15:00;SP4;SP;06:55:00;1;Fahrplan 2017;0;10;1;1;1;;1;0;Banderole 1;0
21.03.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;10;1;1;1;;1;0;Banderole 1;0
22.03.2017;NS;05:45:00;SP4;SP;06:25:00;1;Fahrplan 2017;0;10;1;1;1;;1;0;Banderole 1;0
23.03.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;10;1;1;1;;1;0;Banderole 1;0
24.03.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;10;1;1;1;;1;0;Banderole 1;0
27.03.2017;NS;08:30:00;SP4;SP;09:10:00;1;Fahrplan 2017;0;10;1;1;1;;1;0;Banderole 1;0
28.03.2017;NS;09:15:00;SP4;SP;14:00:00;1;Fahrplan 2017;0;10;1;1;1;;1;0;Banderole 1;0
29.03.2017;NS;10:00:00;SP4;SP;10:40:00;1;Fahrplan 2017;0;10;1;1;1;;1;0;Banderole 1;0
30.03.2017;NS;10:45:00;SP4;SP;11:25:00;1;Fahrplan 2017;0;10;1;1;1;;1;0;Banderole 1;0
31.03.2017;NS;11:45:00;SP4;SP;12:25:00;1;Fahrplan 2017;0;10;1;1;1;;1;0;Banderole 1;0
01.04.2017;NS;12:00:00;SP4;SP;12:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
03.04.2017;NS;07:15:00;SP4;SP;07:55:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
04.04.2017;NS;07:45:00;SP4;SP;08:25:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
05.04.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
06.04.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
07.04.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
08.04.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
10.04.2017;NS;08:45:00;SP4;SP;09:25:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
11.04.2017;NS;09:15:00;SP4;SP;09:55:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
12.04.2017;NS;10:00:00;SP4;SP;10:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
13.04.2017;NS;10:40:00;SP4;SP;11:20:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
13.04.2017;NS;15:00:00;SP4;SP;15:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
18.04.2017;NS;06:45:00;SP4;SP;07:25:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
19.04.2017;NS;05:30:00;SP4;SP;06:10:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
20.04.2017;NS;06:00:00;SP4;SP;06:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
21.04.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
28.04.2017;NS;10:15:00;SP4;SP;10:55:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
28.04.2017;NS;14:45:00;SP4;SP;15:25:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
02.05.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
03.05.2017;NS;08:00:00;SP4;SP;08:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
04.05.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
05.05.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
08.05.2017;NS;07:30:00;SP4;SP;08:10:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
09.05.2017;NS;08:15:00;SP4;SP;08:55:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
10.05.2017;NS;08:50:00;SP4;SP;09:30:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
11.05.2017;NS;09:30:00;SP4;SP;10:10:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
12.05.2017;NS;10:00:00;SP4;SP;10:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
15.05.2017;NS;11:30:00;SP4;SP;12:10:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
16.05.2017;NS;06:00:00;SP4;SP;06:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
17.05.2017;NS;06:30:00;SP4;SP;07:10:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
18.05.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
19.05.2017;NS;05:45:00;SP4;SP;06:25:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
20.05.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
22.05.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
23.05.2017;NS;07:00:00;SP4;SP;07:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
24.05.2017;NS;07:15:00;SP4;SP;07:55:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
26.05.2017;NS;09:15:00;SP4;SP;09:55:00;1;Fahrplan 2017;0;1;0;0;0;;0;0;Banderole 1;0
27.05.2017;NS;10:00:00;SP4;SP;10:40:00;1;Fahrplan 2017;0;1;1;1;1;;1;0;Banderole 1;0
