Verkehrstage;Starthafen;Abfahrt;SchSP1ff;Zielhafen;Ankunft;Verkehrsart;Bezeichnung;Rundfahrt;Kapazität;Sicht+buchbar;Handkasse;Automat;Spezial;Urlaubsservice;Kurbeitragskontrolle;Banderole ;Ein-Aussteiger
23.01.2023;NS;09:10:00;SP4;SP;09:50:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
23.01.2023;NS;13:10:00;SP4;SP;13:50:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
24.01.2023;NS;10:00:00;SP4;SP;10:40:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
25.01.2023;NS;10:45:00;SP4;SP;11:25:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
26.01.2023;NS;11:45:00;SP4;SP;12:25:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
26.01.2023;NS;15:50:00;SP4;SP;16:30:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
27.01.2023;NS;12:00:00;SP4;SP;12:40:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
30.01.2023;NS;07:40:00;SP4;SP;08:20:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
31.01.2023;NS;06:10:00;SP4;SP;06:50:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
31.01.2023;NS;15:00:00;SP4;SP;15:40:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
01.02.2023;NS;07:15:00;SP4;SP;07:55:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
02.02.2023;NS;07:15:00;SP4;SP;07:55:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
03.02.2023;NS;06:30:00;SP4;SP;07:10:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
03.02.2023;NS;10:40:00;SP4;SP;11:20:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
06.02.2023;NS;08:40:00;SP4;SP;09:20:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
06.02.2023;NS;13:00:00;SP4;SP;13:40:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
07.02.2023;NS;09:10:00;SP4;SP;09:50:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
07.02.2023;NS;13:30:00;SP4;SP;14:10:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
08.02.2023;NS;09:45:00;SP4;SP;10:25:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
08.02.2023;NS;14:00:00;SP4;SP;14:40:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
09.02.2023;NS;10:10:00;SP4;SP;10:50:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
10.02.2023;NS;10:45:00;SP4;SP;11:25:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
13.02.2023;NS;06:00:00;SP4;SP;06:40:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
13.02.2023;NS;14:15:00;SP4;SP;14:55:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
14.02.2023;NS;06:30:00;SP4;SP;07:10:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
15.02.2023;NS;07:30:00;SP4;SP;08:10:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
15.02.2023;NS;15:30:00;SP4;SP;16:10:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
