Verkehrstage;Starthafen;Abfahrt;Schiff;Zielhafen;Ankunft;Verkehrsart;Bezeichnung;Rundfahrt;Kapazität;Sicht+buchbar;Handkasse;Automat;Spezial;Urlaubsservice;Kurbeitragskontrolle;Banderole ;Ein-Aussteiger
02.04.2021;NS;13:15:00;SP2;SP+;14:45:00;4;Seehundsbänke mit Inselaufenthalt;0;1;0;1;1;;1;0;Banderole 1;0
02.04.2021;SP+;18:25:00;SP1;NS;18:55:00;4;Rückfahrt;0;1;0;1;1;;1;1;Banderole 1;0
04.04.2021;NS;13:45:00;SP4;SP+;15:15:00;4;Seehundsbänke mit Inselaufenthalt;0;1;0;1;1;;1;0;Banderole 1;0
04.04.2021;SP+;18:25:00;SP2;NS;18:55:00;4;Rückfahrt;0;1;0;1;1;;1;1;Banderole 1;0
04.04.2021;NS;13:45:00;SP4;SHD;16:15:00;4;Seehundbänkefahrt;1;1;0;1;1;;1;0;Banderole 1;0
08.04.2021;NS;10:45:00;SP4;SHD;12:45:00;4;Seehundbänkefahrt;1;1;0;1;1;;1;0;Banderole 1;0
13.04.2021;NS;14:15:00;SP4;SHD;16:15:00;4;Seehundbänkefahrt;1;1;0;1;1;;1;0;Banderole 1;0
18.04.2021;NS;13:30:00;SP4;SP+;15:00:00;4;Seehundsbänke mit Inselaufenthalt;0;1;0;1;1;;1;0;Banderole 1;0
18.04.2021;SP+;18:15:00;SP1;NS;18:55:00;4;Rückfahrt;0;1;0;1;1;;1;1;Banderole 1;0
18.04.2021;NS;13:30:00;SP4;SHD;15:30:00;4;Seehundbänkefahrt;1;1;0;1;1;;1;0;Banderole 1;0
21.04.2021;NS;14:00:00;SP4;SP+;15:30:00;4;Seehundsbänke mit Inselaufenthalt;0;1;0;1;1;;1;0;Banderole 1;0
21.04.2021;SP+;19:00:00;SP1;NS;19:40:00;4;Rückfahrt;0;1;0;1;1;;1;1;Banderole 1;0
21.04.2021;NS;14:00:00;SP4;SHD;16:00:00;4;Seehundbänkefahrt;1;1;0;1;1;;1;0;Banderole 1;0
24.04.2021;NS;10:30:00;SP4;SHD;12:30:00;4;Seehundbänkefahrt;1;1;0;1;1;;1;0;Banderole 1;0
27.04.2021;NS;13:00:00;SP4;SHD;15:00:00;4;Seehundbänkefahrt;1;1;0;1;1;;1;0;Banderole 1;0
01.05.2021;NS;13:00:00;SP4;SP+;14:30:00;4;Seehundsbänke mit Inselaufenthalt;0;1;0;1;1;;1;0;Banderole 1;0
01.05.2021;SP+;18:00:00;SP1;NS;18:40:00;4;Rückfahrt;0;1;0;1;1;;1;1;Banderole 1;0
01.05.2021;NS;13:00:00;SP4;SHD;15:00:00;4;Seehundbänkefahrt;1;1;0;1;1;;1;0;Banderole 1;0
02.05.2021;NS;13:00:00;SP4;SP+;14:30:00;4;Seehundsbänke mit Inselaufenthalt;0;1;0;1;1;;1;0;Banderole 1;0
02.05.2021;SP+;18:00:00;SP1;NS;18:40:00;4;Rückfahrt;0;1;0;1;1;;1;1;Banderole 1;0
