date,10,20,16,24,39,80,131,84,138,35,21,83,13,38,85,22,82,86,112,11,31,111,27,28,32,23,134,12,107,29,57,132,is_open,holidays,gaestezahlen,arrival,departure,temperature,precipitation,cloud_cover,wind_speed,wind_direction
2019-02-20,61.0,27.0,22.0,16.0,14.0,9.0,28.0,9.0,24.0,10.0,9.0,8.0,9.0,11.0,0.0,9.0,3.0,13.0,8.0,3.0,3.0,0.0,4.0,4.0,0.0,8.0,0.0,4.0,5.0,2.0,6.0,0.0,8.0,24.0,13200.0,2.0,2.0,6739.79,0.0,2173.0,161.08,5604.0
2019-02-21,32.0,16.0,18.0,16.0,8.0,9.0,20.0,10.0,28.0,19.0,14.0,9.0,6.0,10.0,0.0,10.0,3.0,8.0,6.0,6.0,4.0,0.0,4.0,4.0,0.0,8.0,0.0,5.0,11.0,4.0,6.0,0.0,7.0,24.0,13200.0,1.0,1.0,6735.33,0.53,1941.0,166.18,6130.0
2019-02-22,61.0,21.0,21.0,18.0,9.0,10.0,39.0,12.0,28.0,23.0,13.0,10.0,7.0,7.0,0.0,9.0,15.0,17.0,6.0,6.0,4.0,0.0,4.0,4.0,0.0,8.0,0.0,6.0,0.0,5.0,7.0,0.0,7.0,24.0,13200.0,2.0,2.0,6714.02,0.0,2259.0,109.73,3398.0
2019-02-23,123.0,40.0,43.0,34.0,10.0,24.0,36.0,19.0,36.0,20.0,25.0,16.0,18.0,12.0,0.0,12.0,16.0,16.0,6.0,11.0,4.0,0.0,5.0,3.0,0.0,8.0,13.0,7.0,8.0,5.0,13.0,1.0,7.0,24.0,13200.0,2.0,2.0,6654.47,0.0,1170.0,120.73,3495.0
2019-02-24,119.0,49.0,71.0,31.0,16.0,42.0,19.0,21.0,32.0,39.0,33.0,24.0,29.0,11.0,0.0,33.0,18.0,26.0,15.0,6.0,4.0,0.0,6.0,7.0,0.0,10.0,0.0,7.0,10.0,5.0,4.0,2.0,7.0,24.0,13200.0,1.0,1.0,6654.92,0.0,503.0,60.74,4508.0
2019-02-25,164.0,18.0,47.0,29.0,10.0,19.0,28.0,17.0,29.0,12.0,11.0,10.0,8.0,8.0,6.0,11.0,12.0,8.0,8.0,8.0,4.0,0.0,2.0,4.0,0.0,9.0,12.0,8.0,8.0,4.0,7.0,0.0,7.0,72.0,13200.0,1.0,1.0,6669.7699999999995,0.0,654.0,54.15,6218.0
2019-02-26,105.0,30.0,57.0,0.0,13.0,15.0,22.0,18.0,17.0,24.0,21.0,12.0,20.0,10.0,6.0,16.0,8.0,17.0,13.0,10.0,4.0,0.0,0.0,3.0,5.0,8.0,16.0,7.0,0.0,5.0,5.0,0.0,8.0,72.0,13200.0,2.0,2.0,6676.11,0.0,471.0,59.56,6476.0
2019-02-27,84.0,32.0,28.0,25.0,35.0,26.0,35.0,27.0,35.0,21.0,13.0,18.0,12.0,10.0,0.0,15.0,5.0,8.0,9.0,10.0,5.0,0.0,0.0,2.0,5.0,10.0,17.0,1.0,10.0,5.0,5.0,0.0,7.0,72.0,13200.0,1.0,1.0,6739.12,0.0,0.0,95.4,5230.0
2019-02-28,54.0,25.0,28.0,26.0,28.0,17.0,28.0,23.0,24.0,16.0,11.0,17.0,11.0,10.0,0.0,24.0,8.0,15.0,10.0,7.0,3.0,0.0,5.0,5.0,6.0,7.0,2.0,4.0,17.0,5.0,2.0,0.0,7.0,72.0,13200.0,4.0,3.0,6688.16,0.0,1580.0,86.31,6457.0
2019-03-01,121.0,43.0,61.0,27.0,19.0,31.0,27.0,24.0,32.0,33.0,27.0,14.0,24.0,12.0,0.0,20.0,10.0,19.0,10.0,13.0,7.0,0.0,5.0,5.0,9.0,6.0,10.0,6.0,15.0,3.0,6.0,0.0,9.0,72.0,28800.0,3.0,2.0,6687.73,0.0,1959.0,119.24,6067.0
