date,10,20,is_open,holidays,gaestezahlen,arrival,departure,temperature,precipitation,cloud_cover,wind_speed,wind_direction
2019-02-25,615.0,182.0,38.0,216.0,92400.0,11.0,11.0,46889.77,1.18,10243.0,862.25,35334.0
2019-03-04,863.0,243.0,35.0,408.0,154800.0,16.0,14.0,47039.76,20.4,10664.0,1018.67,40543.0
2019-03-11,805.0,212.0,42.0,192.0,184800.0,17.0,14.0,46965.52,35.83,13840.0,1504.76,40903.0
2019-03-18,685.0,200.0,41.0,96.0,121200.0,14.0,14.0,47014.7,44.15,12630.0,1834.75,42120.0
2019-03-25,803.0,238.0,45.0,0.0,135600.0,14.0,13.0,47156.0,4.52,11492.0,934.02,44168.0
2019-04-01,989.0,277.0,41.0,0.0,157200.0,18.0,17.0,46945.73,0.94,9535.0,838.05,37813.0
2019-04-08,999.0,365.0,49.0,216.0,182400.0,17.0,17.0,47383.37,23.78,9560.0,785.44,25973.0
2019-04-15,1413.0,484.0,53.0,720.0,350400.0,21.0,23.0,46809.41,2.5100000000000002,6460.0,1190.84,11588.0
2019-04-22,1607.0,670.0,59.0,2280.0,453600.0,22.0,22.0,47792.7,0.0,1871.0,1152.66,14458.0
2019-04-29,1352.0,424.0,58.0,1416.0,391200.0,22.0,20.0,47959.72,12.57,11261.0,958.46,33908.0
2019-05-06,890.0,301.0,58.0,48.0,405600.0,21.0,21.0,47259.67,6.19,10960.0,1216.07,51503.0
2019-05-13,521.0,173.0,47.0,24.0,285600.0,19.0,18.0,47468.14,7.98,8291.0,909.18,40308.0
2019-05-20,861.0,341.0,51.0,96.0,285600.0,21.0,21.0,47945.52,3.65,10798.0,900.72,12307.0
2019-05-27,974.0,314.0,52.0,0.0,433200.0,18.0,20.0,48033.56,12.81,12101.0,1095.27,46259.0
2019-06-03,1496.0,289.0,56.0,288.0,424800.0,26.0,25.0,48485.82,7.15,11812.0,877.19,39129.0
2019-06-10,1013.0,362.0,58.0,168.0,454800.0,25.0,25.0,48656.32,8.9,11884.0,1062.6,24491.0
2019-06-17,1403.0,425.0,49.0,384.0,523200.0,22.0,19.0,48677.9,36.78,8895.0,752.93,26138.0
2019-06-24,1629.0,336.0,48.0,432.0,480000.0,21.0,22.0,49002.44,6.51,10077.0,783.75,28868.0
2019-07-01,1351.0,392.0,59.0,576.0,420000.0,22.0,21.0,48941.19,0.7,8581.0,990.56,38181.0
2019-07-08,1680.0,498.0,54.0,1752.0,441600.0,25.0,25.0,48439.35,3.95,11958.0,1253.54,49736.0
2019-07-15,1728.0,675.0,51.0,2208.0,526800.0,31.0,26.0,48448.89,12.42,14980.0,961.03,49789.0
2019-07-22,2025.0,790.0,51.0,2352.0,597600.0,29.0,28.0,48900.35,18.5,12082.0,834.66,37085.0
2019-07-29,2274.0,936.0,54.0,2400.0,616800.0,30.0,26.0,49872.39,2.5300000000000002,5584.0,1000.25,21213.0
2019-08-05,2037.0,876.0,54.0,2568.0,624000.0,31.0,29.0,49061.24,12.22,9203.0,637.88,30578.0
2019-08-12,1844.0,933.0,58.0,1920.0,590400.0,28.0,25.0,49039.6,12.540000000000001,9159.0,1184.15,37244.0
2019-08-19,1671.0,771.0,61.0,864.0,598800.0,27.0,29.0,48702.74,47.99,11862.0,1078.28,38621.0
2019-08-26,1563.0,733.0,54.0,504.0,612000.0,27.0,27.0,49105.6,1.36,5531.0,728.13,26451.0
2019-09-02,923.0,533.0,52.0,360.0,572400.0,24.0,25.0,49291.53,9.1,9042.0,749.12,36514.0
2019-09-09,823.0,453.0,49.0,336.0,492000.0,22.0,20.0,48388.22,36.43,10506.0,1117.92,38820.0
2019-09-16,935.0,485.0,50.0,24.0,360000.0,21.0,20.0,48489.03,10.01,10419.0,1088.42,45145.0
2019-09-23,978.0,412.0,53.0,0.0,364800.0,17.0,19.0,48337.1,5.08,9014.0,1035.39,41278.0
2019-09-30,612.0,275.0,49.0,48.0,369600.0,21.0,20.0,48410.73,67.97,13452.0,1200.87,34451.0
2019-10-07,1582.0,688.0,48.0,1152.0,429600.0,23.0,21.0,47648.59,34.37,12234.0,1076.35,26420.0
2019-10-14,1462.0,630.0,53.0,1824.0,432000.0,25.0,24.0,48042.49,50.57,14685.0,1384.98,36199.0
2019-10-21,1598.0,671.0,58.0,1152.0,204000.0,22.0,23.0,48036.45,30.810000000000002,14257.0,968.44,31055.0
2019-10-28,942.0,435.0,53.0,264.0,124800.0,23.0,21.0,47967.72,6.37,12542.0,1277.23,38090.0
2019-11-04,836.0,385.0,49.0,240.0,93600.0,19.0,18.0,47232.71,30.75,9143.0,885.95,25337.0
2019-11-11,411.0,208.0,40.0,168.0,72000.0,14.0,14.0,46965.92,16.17,12620.0,963.09,28741.0
2019-11-18,314.0,154.0,32.0,168.0,56400.0,14.0,14.0,46830.19,33.47,13643.0,1287.88,26918.0
2019-11-25,531.0,211.0,31.0,48.0,74400.0,15.0,15.0,46814.1,16.29,15372.0,1036.57,26565.0
2019-12-02,349.0,209.0,31.0,0.0,70800.0,14.0,15.0,47064.71,22.59,12690.0,1062.16,42893.0
2019-12-09,0.0,0.0,0.0,0.0,57600.0,13.0,13.0,47017.11,15.14,12732.0,1521.27,40198.0
2019-12-16,0.0,0.0,0.0,0.0,0.0,15.0,14.0,46764.53,10.19,13236.0,1445.97,34764.0
2019-12-23,178.0,101.0,7.0,504.0,0.0,16.0,15.0,47181.34,9.620000000000001,12793.0,1179.92,31418.0
2019-12-30,977.0,466.0,42.0,2688.0,178800.0,17.0,16.0,46584.16,6.78,12155.0,922.63,33909.0
