date,10,20,16,24,39,80,131,84,138,35,21,83,13,38,85,22,is_open,holidays,gaestezahlen,arrival,departure,temperature,precipitation,cloud_cover,wind_speed,wind_direction
2019-02-25,615.0,182.0,222.0,170.0,83.0,128.0,187.0,102.0,187.0,141.0,117.0,95.0,89.0,68.0,6.0,94.0,52.0,216.0,92400.0,11.0,11.0,46889.77,1.18,10243.0,862.25,35334.0
2019-03-04,877.0,246.0,296.0,221.0,165.0,183.0,234.0,154.0,175.0,189.0,150.0,114.0,130.0,96.0,6.0,139.0,48.0,408.0,154800.0,16.0,14.0,47039.76,20.4,10664.0,1018.67,40543.0
2019-03-11,810.0,213.0,164.0,135.0,72.0,108.0,207.0,89.0,126.0,185.0,119.0,61.0,132.0,66.0,0.0,68.0,51.0,192.0,184800.0,17.0,14.0,46965.52,35.83,13840.0,1504.76,40903.0
2019-03-18,684.0,204.0,171.0,136.0,82.0,147.0,182.0,96.0,155.0,157.0,189.0,86.0,88.0,95.0,0.0,88.0,45.0,96.0,121200.0,14.0,14.0,47014.7,44.15,12630.0,1834.75,42120.0
2019-03-25,803.0,236.0,309.0,101.0,119.0,174.0,207.0,92.0,182.0,177.0,162.0,75.0,116.0,81.0,32.0,150.0,51.0,0.0,135600.0,14.0,13.0,47156.0,4.52,11492.0,934.02,44168.0
2019-04-01,992.0,279.0,450.0,134.0,129.0,260.0,293.0,108.0,104.0,270.0,229.0,111.0,163.0,89.0,0.0,190.0,51.0,0.0,157200.0,18.0,17.0,46945.73,0.94,9535.0,838.05,37813.0
2019-04-08,996.0,368.0,280.0,263.0,149.0,228.0,248.0,105.0,111.0,263.0,226.0,95.0,149.0,118.0,0.0,135.0,55.0,216.0,182400.0,17.0,17.0,47383.37,23.78,9560.0,785.44,25973.0
2019-04-15,1085.0,426.0,423.0,365.0,226.0,330.0,255.0,139.0,168.0,273.0,206.0,74.0,183.0,146.0,59.0,112.0,53.0,720.0,350400.0,21.0,23.0,46809.41,2.5100000000000002,6460.0,1190.84,11588.0
2019-04-22,1608.0,674.0,604.0,614.0,442.0,468.0,413.0,360.0,345.0,331.0,412.0,201.0,257.0,344.0,63.0,207.0,63.0,2280.0,453600.0,22.0,22.0,47792.7,0.0,1871.0,1152.66,14458.0
2019-04-29,1354.0,424.0,333.0,341.0,331.0,312.0,357.0,165.0,361.0,349.0,242.0,131.0,180.0,153.0,97.0,150.0,63.0,1416.0,391200.0,22.0,20.0,47959.72,12.57,11261.0,958.46,33908.0
