Model,Baseline,Baseline,Baseline
Metric,loss,mae,rmse
Dataset,,,
sales_forecasting_8h_top2,392.2866821289063,11.216543197631836,19.806228637695312
sales_forecasting_8h_top64,25.12231636047364,1.8051410913467407,5.012216567993164
sales_forecasting_8h_top16,90.40023040771484,4.680490493774414,9.50790309906006
sales_forecasting_8h_top32,49.0966682434082,3.188107967376709,7.006901264190674
sales_forecasting_16h_top16,87.02918243408203,4.533544540405273,9.328943252563477
sales_forecasting_16h_top2,381.2969970703125,10.96812629699707,19.526826858520508
sales_forecasting_16h_top64,24.22565269470215,1.7493062019348145,4.921956062316895
sales_forecasting_16h_top32,47.314937591552734,3.0883123874664307,6.878585338592529
sales_forecasting_24h_top16,87.02851104736328,4.533730983734131,9.328907012939451
sales_forecasting_24h_top2,381.33489990234375,10.968581199645996,19.52779769897461
sales_forecasting_24h_top64,24.22536849975586,1.7493654489517212,4.921927452087402
sales_forecasting_24h_top32,47.3143424987793,3.088409662246704,6.878541946411133
sales_forecasting_1d_top2,5167.43505859375,47.24235916137695,71.88487243652344
sales_forecasting_1d_top32,668.3746337890625,13.22049617767334,25.852941513061523
sales_forecasting_1d_top16,1336.109130859375,20.2958927154541,36.552825927734375
sales_forecasting_1d_top64,341.7647705078125,7.552409648895264,18.48688125610352
sales_forecasting_1w_top2,72175.1953125,176.62820434570312,268.6544189453125
sales_forecasting_1w_top32,10028.0029296875,51.97595977783203,100.1399154663086
sales_forecasting_1w_top16,19882.21484375,82.93589782714844,141.00430297851562
sales_forecasting_1w_top64,5086.44140625,29.040864944458008,71.31929016113281
