Model,Baseline,Baseline,Baseline,ITransformer,ITransformer,ITransformer,TiDE,TiDE,TiDE,iTransformer,iTransformer,iTransformer
Metric,mse,mae,rmse,mse,mae,rmse,mse,mae,rmse,mse,mae,rmse
sales_forecasting_8h_top2,328.1203308105469,9.42985725402832,18.114093780517575,,,,,,,,,
sales_forecasting_8h_top16,101.3866729736328,4.437644481658936,10.06909465789795,,,,,,,,,
sales_forecasting_8h_top32,56.0604133605957,2.99833345413208,7.487349987030029,,,,,,,,,
sales_forecasting_8h_top64,28.58375740051269,1.692207098007202,5.346377849578857,,,,,,,,,
sales_forecasting_16h_top2,210.17124938964844,5.179261684417725,14.497283935546877,,,,,,,,,
sales_forecasting_16h_top16,50.70546722412109,2.2404463291168213,7.120777130126953,,,,,,,,,
sales_forecasting_16h_top32,28.03803062438965,1.5134718418121338,5.295094966888428,,,,,,,,,
sales_forecasting_16h_top64,14.29653263092041,0.8540656566619873,3.7810754776000977,,,,,,,,,
sales_forecasting_24h_top2,140.46983337402344,3.4613399505615234,11.85200023651123,,,,,,,,,
sales_forecasting_24h_top16,33.887752532958984,1.4968408346176147,5.821318626403809,,,,,,,,,
sales_forecasting_24h_top32,18.737611770629883,1.0110180377960205,4.328696250915527,,,,,,,,,
sales_forecasting_24h_top64,9.5540771484375,0.5704567432403564,3.0909667015075684,,,,,,,,,
sales_forecasting_1d_top2,8575.431640625,56.998046875,92.60363006591795,,,,,,,5608.8408203125,49.916629791259766,74.89219665527344
sales_forecasting_1d_top16,2150.10107421875,23.994140625,46.36918258666992,,,,,,,,,
sales_forecasting_1d_top32,1146.35009765625,15.696533203125,33.857791900634766,,,,,,,,,
sales_forecasting_1d_top64,581.016845703125,8.886474609375,24.104291915893555,,,,,,,,,
sales_forecasting_1w_top2,78444.8125,185.6875,280.0800170898437,,,,,,,,,
sales_forecasting_1w_top16,22003.103515625,89.263671875,148.3344268798828,,,,,,,,,
sales_forecasting_1w_top32,11064.0322265625,55.9873046875,105.18570709228516,,,,,,,,,
sales_forecasting_1w_top64,5616.83544921875,31.32568359375,74.94554901123047,,,,,,,,,
