date,10,11,12,13,16,20,21,22,23,24,27,28,29,31,32,35,38,39,80,82,83,84,85,86,97,98,99,105,107,111,112,is_open,holidays,gaestezahlen,arrival,departure,temperature,precipitation,cloud_cover,wind_speed,wind_direction
2019-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,2.0,2.0,6546.29,0.0,1977.0,190.27,2439.0
2019-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6579.92,0.32,2314.0,130.2,2230.0
2019-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6612.15,0.1,513.0,141.3,7617.0
2019-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,10800.0,2.0,2.0,6590.35,1.89,2053.0,222.15,4941.0
2019-02-05,53.0,3.0,3.0,5.0,10.0,8.0,5.0,0.0,0.0,9.0,4.0,1.0,0.0,4.0,0.0,6.0,4.0,2.0,7.0,1.0,5.0,4.0,5.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,72.0,10800.0,2.0,2.0,6650.09,0.0,1733.0,170.29,5644.0
2019-02-06,33.0,5.0,1.0,9.0,9.0,11.0,8.0,0.0,5.0,9.0,3.0,1.0,0.0,4.0,0.0,9.0,6.0,0.0,11.0,2.0,8.0,8.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,72.0,10800.0,1.0,1.0,6662.0599999999995,3.38,2400.0,168.63,4903.0
2019-02-07,37.0,6.0,3.0,5.0,9.0,6.0,8.0,0.0,5.0,8.0,1.0,3.0,0.0,1.0,0.0,8.0,3.0,0.0,7.0,5.0,8.0,3.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,72.0,10800.0,3.0,3.0,6714.37,12.87,2028.0,235.38,4874.0
2019-02-08,49.0,6.0,5.0,7.0,19.0,10.0,10.0,3.0,6.0,15.0,0.0,2.0,0.0,4.0,3.0,8.0,1.0,7.0,8.0,6.0,8.0,8.0,6.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,72.0,10800.0,2.0,3.0,6723.41,2.38,2065.0,247.62,4958.0
2019-02-09,63.0,6.0,6.0,9.0,54.0,19.0,9.0,9.0,6.0,43.0,5.0,4.0,0.0,4.0,0.0,8.0,8.0,9.0,29.0,6.0,7.0,19.0,16.0,13.0,3.0,2.0,3.0,0.0,0.0,0.0,8.0,7.0,72.0,10800.0,1.0,1.0,6742.35,3.51,1459.0,304.12,5399.0
2019-02-10,105.0,11.0,8.0,20.0,31.0,29.0,26.0,16.0,11.0,35.0,5.0,4.0,0.0,7.0,7.0,34.0,21.0,13.0,29.0,6.0,10.0,12.0,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9.0,24.0,10800.0,1.0,1.0,6691.8099999999995,15.64,2276.0,171.23,5303.0
